Time	Channel A	Channel B
(ms)	(V)	(V)

-44.12109000	-0.39008760	-0.39072850
-44.10829000	-0.38114570	-0.38175600
-44.09549000	-0.35438090	-0.35480820
-44.08269000	-0.34543900	-0.34583570
-44.06989000	-0.32758570	-0.32786040
-44.05709000	-0.31864370	-0.30991550
-44.04429000	-0.29184850	-0.29194010
-44.03149000	-0.27399520	-0.27399520
-44.01869000	-0.25614180	-0.25601980
-44.00589000	-0.23825800	-0.22910240
-43.99309000	-0.21149330	-0.21112700
-43.98029000	-0.20255130	-0.19318220
-43.96749000	-0.17575610	-0.17520680
-43.95469000	-0.15790280	-0.15726190
-43.94189000	-0.14004940	-0.13928650
-43.92909000	-0.12216560	-0.12134160
-43.91629000	-0.10431230	-0.09439375
-43.90349000	-0.07751702	-0.07641835
-43.89069000	-0.05966369	-0.06744590
-43.87789000	-0.04181036	-0.04049806
-43.86509000	-0.02392651	-0.01358074
-43.85229000	-0.00607318	-0.00457778
-43.83949000	0.02072207	0.02233955
-43.82669000	0.03857540	0.04028443
-43.81389000	0.05642872	0.05825983
-43.80109000	0.07428205	0.07620472
-43.78829000	0.10104680	0.09418012
-43.77549000	0.11893060	0.11212500
-43.76269000	0.13678400	0.13010040
-43.74989000	0.16357920	0.15701770
-43.73709000	0.18143250	0.17499310
-43.72429000	0.19928590	0.19293800
-43.71149000	0.21716970	0.21988590
-43.69869000	0.23502300	0.23786130
-43.68589000	0.25287640	0.25580610
-43.67309000	0.27072970	0.27378150
-43.66029000	0.28861360	0.28275400
-43.64749000	0.30646690	0.30069890
-43.63469000	0.32432020	0.31867430
-43.62189000	0.33326210	0.33661920
-43.60909000	0.35111550	0.35459460
-43.59629000	0.36896880	0.36356700
-43.58349000	0.38682210	0.38154240
-43.57069000	0.39576400	0.39948730
-43.55789000	0.41361740	0.41746270
-43.54509000	0.43150120	0.42643510
-43.53229000	0.44041260	0.43540760
-43.51949000	0.44935450	0.45338300
-43.50669000	0.46720780	0.46235540
-43.49389000	0.47614980	0.47132790
-43.48109000	0.48506120	0.48930330
-43.46829000	0.50294510	0.49827570
-43.45549000	0.50294510	0.50724820
-43.44269000	0.52079840	0.51622060
-43.42989000	0.52079840	0.52522360
-43.41709000	0.52970980	0.52522360
-43.40429000	0.53865170	0.53419600
-43.39149000	0.53865170	0.54316840
-43.37869000	0.54759360	0.54316840
-43.36589000	0.54759360	0.55214090
-43.35309000	0.55650500	0.56114380
-43.34029000	0.55650500	0.56114380
-43.32749000	0.55650500	0.56114380
-43.31469000	0.55650500	0.56114380
-43.30189000	0.55650500	0.55214090
-43.28909000	0.55650500	0.56114380
-43.27629000	0.55650500	0.56114380
-43.26349000	0.55650500	0.55214090
-43.25069000	0.54759360	0.54316840
-43.23789000	0.53865170	0.54316840
-43.22509000	0.53865170	0.54316840
-43.21229000	0.53865170	0.53419600
-43.19949000	0.52970980	0.52522360
-43.18669000	0.52079840	0.51622060
-43.17389000	0.51185640	0.50724820
-43.16109000	0.50294510	0.49827570
-43.14829000	0.49400310	0.48930330
-43.13549000	0.48506120	0.48030030
-43.12269000	0.46720780	0.47132790
-43.10989000	0.46720780	0.46235540
-43.09709000	0.44935450	0.44438000
-43.08429000	0.44041260	0.43540760
-43.07149000	0.42255930	0.42643510
-43.05869000	0.41361740	0.40845970
-43.04589000	0.39576400	0.39948730
-43.03309000	0.37791070	0.38154240
-43.02029000	0.36005740	0.36356700
-43.00749000	0.35111550	0.34562210
-42.99469000	0.33326210	0.33661920
-42.98189000	0.32432020	0.31867430
-42.96909000	0.29752500	0.30069890
-42.95629000	0.28861360	0.28275400
-42.94349000	0.27072970	0.26477860
-42.93069000	0.25287640	0.25580610
-42.91789000	0.23502300	0.23786130
-42.90509000	0.21716970	0.21988590
-42.89229000	0.19928590	0.20194100
-42.87949000	0.18143250	0.17499310
-42.86669000	0.16357920	0.16602070
-42.85389000	0.14572590	0.14804530
-42.84109000	0.11893060	0.12109740
-42.82829000	0.10998870	0.10315260
-42.81549000	0.08319346	0.07620472
-42.80269000	0.06537065	0.06723227
-42.78989000	0.04751732	0.04028443
-42.77709000	0.02072207	0.02233955
-42.76429000	0.00283822	0.00439467
-42.75149000	-0.01501511	-0.01358074
-42.73869000	-0.03286843	-0.03152562
-42.72589000	-0.05072176	-0.04950102
-42.71309000	-0.06860561	-0.06744590
-42.70029000	-0.09537034	-0.09439375
-42.68749000	-0.11325420	-0.11233860
-42.67469000	-0.14004940	-0.13928650
-42.66189000	-0.15790280	-0.15726190
-42.64909000	-0.17575610	-0.17520680
-42.63629000	-0.19360940	-0.19318220
-42.62349000	-0.21149330	-0.21112700
-42.61069000	-0.22934660	-0.22910240
-42.59789000	-0.24719990	-0.24704730
-42.58509000	-0.26505320	-0.27399520
-42.57229000	-0.29184850	-0.28296760
-42.55949000	-0.30079040	-0.30991550
-42.54669000	-0.32758570	-0.32786040
-42.53389000	-0.34543900	-0.33686330
-42.52109000	-0.35438090	-0.36378060
-42.50829000	-0.38114570	-0.38175600
-42.49549000	-0.39902950	-0.39072850
-42.48269000	-0.40794090	-0.40870390
-42.46989000	-0.42582480	-0.42664880
-42.45709000	-0.44367810	-0.44462420
-42.44429000	-0.46153140	-0.46256910
-42.43149000	-0.47938480	-0.47154150
-42.41869000	-0.48832670	-0.48951690
-42.40589000	-0.50618000	-0.50746180
-42.39309000	-0.51512190	-0.51646470
-42.38029000	-0.53297530	-0.53440960
-42.36749000	-0.54191710	-0.54338200
-42.35469000	-0.55082860	-0.55238500
-42.34189000	-0.56871240	-0.56135740
-42.32909000	-0.57762380	-0.57930240
-42.31629000	-0.58656570	-0.58830530
-42.30349000	-0.59547720	-0.58830530
-42.29069000	-0.60441910	-0.60625020
-42.27789000	-0.61336100	-0.60625020
-42.26509000	-0.61336100	-0.61522260
-42.25229000	-0.62227240	-0.62422560
-42.23949000	-0.62227240	-0.62422560
-42.22669000	-0.64015630	-0.63319800
-42.21389000	-0.64015630	-0.64217050
-42.20109000	-0.64015630	-0.64217050
-42.18829000	-0.64015630	-0.64217050
-42.17549000	-0.64906760	-0.64217050
-42.16269000	-0.64906760	-0.64217050
-42.14989000	-0.64015630	-0.64217050
-42.13709000	-0.64906760	-0.64217050
-42.12429000	-0.64015630	-0.64217050
-42.11149000	-0.64015630	-0.64217050
-42.09869000	-0.64015630	-0.64217050
-42.08589000	-0.64015630	-0.63319800
-42.07309000	-0.64015630	-0.63319800
-42.06029000	-0.63121430	-0.62422560
-42.04749000	-0.62227240	-0.62422560
-42.03469000	-0.61336100	-0.60625020
-42.02189000	-0.60441910	-0.60625020
-42.00909000	-0.60441910	-0.59727780
-41.99629000	-0.58656570	-0.58830530
-41.98349000	-0.57762380	-0.57930240
-41.97069000	-0.56871240	-0.57032990
-41.95789000	-0.55977050	-0.56135740
-41.94509000	-0.55082860	-0.54338200
-41.93229000	-0.53297530	-0.53440960
-41.91949000	-0.52403330	-0.51646470
-41.90669000	-0.50618000	-0.50746180
-41.89389000	-0.49726860	-0.49848930
-41.88109000	-0.47938480	-0.48054440
-41.86829000	-0.46153140	-0.46256910
-41.85549000	-0.45258950	-0.44462420
-41.84269000	-0.43473620	-0.43562120
-41.82989000	-0.41688280	-0.41767630
-41.81709000	-0.40794090	-0.39970090
-41.80429000	-0.39008760	-0.38175600
-41.79149000	-0.37223430	-0.36378060
-41.77869000	-0.35438090	-0.34583570
-41.76589000	-0.33649710	-0.33686330
-41.75309000	-0.31864370	-0.31888790
-41.74029000	-0.30079040	-0.30094300
-41.72749000	-0.28293710	-0.28296760
-41.71469000	-0.26505320	-0.25601980
-41.70189000	-0.24719990	-0.24704730
-41.68909000	-0.22934660	-0.22009950
-41.67629000	-0.21149330	-0.20215460
-41.66349000	-0.18469800	-0.19318220
-41.65069000	-0.16681420	-0.16623430
-41.63789000	-0.14896080	-0.14825890
-41.62509000	-0.13110750	-0.13031400
-41.61229000	-0.10431230	-0.11233860
-41.59949000	-0.08645894	-0.08542131
-41.58669000	-0.06860561	-0.06744590
-41.57389000	-0.05072176	-0.04950102
-41.56109000	-0.03286843	-0.03152562
-41.54829000	-0.00607318	-0.00457778
-41.53549000	0.00283822	0.00439467
-41.52269000	0.02963347	0.03131199
-41.50989000	0.05642872	0.04925688
-41.49709000	0.07428205	0.06723227
-41.48429000	0.09213538	0.09418012
-41.47149000	0.10998870	0.11212500
-41.45869000	0.12784200	0.13010040
-41.44589000	0.14572590	0.14804530
-41.43309000	0.17249060	0.16602070
-41.42029000	0.19037450	0.18396560
-41.40749000	0.20822780	0.20194100
-41.39469000	0.22608110	0.21988590
-41.38189000	0.24393450	0.24683370
-41.36909000	0.26181830	0.25580610
-41.35629000	0.27967160	0.27378150
-41.34349000	0.29752500	0.29172640
-41.33069000	0.31537830	0.31867430
-41.31789000	0.33326210	0.32764670
-41.30509000	0.35111550	0.34562210
-41.29229000	0.36005740	0.36356700
-41.27949000	0.37791070	0.38154240
-41.26669000	0.39576400	0.39051490
-41.25389000	0.41361740	0.40845970
-41.24109000	0.42255930	0.41746270
-41.22829000	0.44041260	0.43540760
-41.21549000	0.44935450	0.44438000
-41.20269000	0.46720780	0.45338300
-41.18989000	0.46720780	0.47132790
